title,author,category,season,episode,source,status,video_created,youtube_uploaded,notes,added_at
사피엔스,유발 하라리,ildangbaek,,,,not_processed,,,,
21세기를 위한 21가지 제언,유발 하라리,ildangbaek,,,,not_processed,,,,
호모 데우스,유발 하라리,ildangbaek,,,,not_processed,,,,
1984,조지 오웰,masterpiece,,,세계문학,not_processed,,,,
동물농장,조지 오웰,masterpiece,,,세계문학,not_processed,,,,
노인과 바다,어니스트 헤밍웨이,masterpiece,,,노벨문학상,not_processed,,,,
햄릿,윌리엄 셰익스피어,masterpiece,,,세계문학,not_processed,,,,
죄와 벌,도스토옙스키,masterpiece,,,러시아문학,not_processed,,,,
서울대 필독서 100선,다양한 저자,university,,,서울대,not_processed,,,,
로미오와 줄리엣,윌리엄 셰익스피어,masterpiece,,,세계문학,not_processed,,,,
전쟁과 평화,톨스토이,masterpiece,,,러시아문학,not_processed,,,,
안나 카레니나,톨스토이,masterpiece,,,러시아문학,not_processed,,,,
위대한 개츠비,F. 스콧 피츠제럴드,masterpiece,,,미국문학,not_processed,,,,
톰 소여의 모험,마크 트웨인,masterpiece,,,미국문학,not_processed,,,,
허클베리 핀의 모험,마크 트웨인,masterpiece,,,미국문학,not_processed,,,,
레 미제라블,빅토르 위고,masterpiece,,,프랑스문학,not_processed,,,,
몬테크리스토 백작,알렉상드르 뒤마,masterpiece,,,프랑스문학,not_processed,,,,
삼국지,나관중,masterpiece,,,중국문학,not_processed,,,,
수호지,시내암,masterpiece,,,중국문학,not_processed,,,,
돈키호테,미겔 데 세르반테스,masterpiece,,,스페인문학,not_processed,,,,
오만과 편견,제인 오스틴,masterpiece,,,영국문학,not_processed,,,,
제인 에어,샬롯 브론테,masterpiece,,,영국문학,not_processed,,,,
폭풍의 언덕,에밀리 브론테,masterpiece,,,영국문학,not_processed,,,,
데이비드 코퍼필드,찰스 디킨스,masterpiece,,,영국문학,not_processed,,,,
두 도시 이야기,찰스 디킨스,masterpiece,,,영국문학,not_processed,,,,
프랑켄슈타인,메리 셸리,masterpiece,,,영국문학,not_processed,,,,
모비딕,허먼 멜빌,masterpiece,,,미국문학,not_processed,,,,
백경,허먼 멜빌,masterpiece,,,미국문학,not_processed,,,,
적과 흑,스탕달,masterpiece,,,프랑스문학,not_processed,,,,
마담 보바리,귀스타브 플로베르,masterpiece,,,프랑스문학,not_processed,,,,
젊은 베르테르의 슬픔,괴테,masterpiece,,,독일문학,not_processed,,,,
파우스트,괴테,masterpiece,,,독일문학,not_processed,,,,
변신,카프카,masterpiece,,,독일문학,not_processed,,,,
성,카프카,masterpiece,,,독일문학,not_processed,,,,
파리의 노트르담,빅토르 위고,masterpiece,,,프랑스문학,not_processed,,,,
그리스인 조르바,니코스 카잔차키스,masterpiece,,,그리스문학,not_processed,,,,
데미안,헤르만 헤세,masterpiece,,,독일문학,not_processed,,,,
싯다르타,헤르만 헤세,masterpiece,,,독일문학,not_processed,,,,
유리알 유희,헤르만 헤세,masterpiece,,,노벨문학상,not_processed,,,,
백년의 고독,가브리엘 가르시아 마르케스,masterpiece,,,노벨문학상,not_processed,,,,
호밀밭의 파수꾼,J.D. 샐린저,masterpiece,,,미국문학,not_processed,,,,
앵무새 죽이기,하퍼 리,masterpiece,,,미국문학,not_processed,,,,
